,Location,Title,Price,Company,Summary
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
3,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.E.g. regression, k-means, etc."
4,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
6,Cambridge,"Junior Data Scientist- Machine Learning, Python, C++, Data A...","
£40,000 - £45,000 a year","
ZenShin Talent","
 Junior Data Scientist- Machine Learning, Python, C++, Big Data Technologies, Analytics and Data Science, ML Methods- Linear Regression, Decision Trees, Random…"
7,London,Data Science Delivery Manager,"
£49,383 a year","

British Transport Police","
 You will work with a range of internal and external stakeholders to integrate big data and various sources of data in order to gain enhanced data insight within…"
10,Bootle,Senior Data Scientist and Statistician,"
£37,578 - £44,331 a year","

UK Government - Health and Safety Executive","
 Key challenges include resolving abstract data-related health and safety problems, by working with your colleagues and external partners to develop your data…"
15,London,CMA1201 Head of Data and Techology Insight,"
£68,936 - £77,300 a year","

UK Government - Competition & Markets Authority","
 You will lead your team to work hand in hand with our data science and data engineering teams to shape analytical projects that directly benefit consumers."
17,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.Machine Learning, Python, R, NoSQL, Scikit-learn, AI.An opportunity for a Data Scientist in Birmingham for £50…"
18,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. E.g. regression, k-means, etc."
6,Basingstoke RG24,Medical Laboratory Assistant,"
£17,652 - £19,020 a year","

Hampshire Hospitals NHS Foundation Trust","
The successful candidate will be expected to perform a variety of tasks including data entry, answering telephone queries, collecting and sorting specimens and…"
7,Swansea,Data Scientist,"
£50,000 - £60,000 a year","
We Predict","
We’re looking for a highly motivated data scientist who can help us address our data analytics challenges. Conduct sophisticated analysis to discover trends and…"
10,London,Data Scientist (Analytics),"
£50,000 a year","
DCL Search and Selection","
Up to £50,000 Base. We are currently working with a Services business who are currently looking for a Data Scientist (Analytics) who has client-facing…"
12,United Kingdom,ML Data Scientist,"
£650 a day","
Salt Recruitment","
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets. Up to £650.00 per day."
13,Bootle,Senior Data Scientist and Statistician,"
£37,578 - £44,331 a year","

UK Government - Health and Safety Executive","
Key challenges include resolving abstract data-related health and safety problems, by working with your colleagues and external partners to develop your data…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. Machine Learning, Python, R, NoSQL, Scikit-learn, AI. An opportunity for a Data Scientist in Birmingham for £50…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
6,London,Data Engineer,"
£100,000 a year","
Imogen Moody","
 Work with Data Scientists to ensure that the data is appropriate for the NLP and AI work.A fast growing tech-driven eCommerce company are looking for Data…"
8,London,Data Scientist ( Python / AWS / Machine learning ),"
£50,000 - £90,000 a year","

Venturi","
 The Data Scientist position will have a strong salary package of up to £90,000 plus benefits.This is an exciting opportunity to join a rapid growing Machine…"
10,Hall,Data Science- 13 Month Placement (July 2020),"
£17,500 a year","

BMW Hams Hall Motoren GmbH","
 Our manufacturing systems produce significant amounts of data and we need data scientists to analyse and explore the potential within this data to support our…"
12,Glasgow,Text Analytics Data Scientist (KTP Associate),"
£29,176 - £35,000 a year","

University of Glasgow","
 C6 Extensive IT and data analysis/interpretation skills as appropriate.Document research output including analysis and interpretation of all data, maintaining…"
14,Porton Down,Data Fusion Scientist - Return to Engineering,"
£28,000 a year","

STEM Returners","
 The programme provides a new group of returners a route back into engineering and a rewarding career as a Data Fusion Scientist at Porton Down Science Park in…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Decision Science professional,"
£40,000 a year","

Openreach","
 Proven track record in a Data Science, Modelling, or Analytics environment.An ability to coach people in SQL, Excel and data analysis, acting as a resource for…"
8,Barnet,Lead Data Scientist,"
£85,000 - £100,000 a year","

La Fosse Associates","
 A Lead Data Scientist with management experience.A Lead Data Scientist with demonstrable leadership skills.A Lead Data Scientist with Deep Learning experience…"
14,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
